"gam","ee_L_a_Horowitz and Manski","ee_L_a_Lee","ee_L_a_Chen and Flores","ee_U_a_Horowitz and Manski","ee_U_a_Lee","ee_U_a_Chen and Flores","ee_L_b_Horowitz and Manski","ee_L_b_Lee","ee_L_b_Chen and Flores","ee_U_b_Horowitz and Manski","ee_U_b_Lee","ee_U_b_Chen and Flores"
0,5.44312554606561,7.91562273466092,7.91562273466092,10.7492989325095,7.91562273466092,7.91562273466092,6.12538262246505,7.51331578534636,8.33170256435583,11.9906692930868,8.72816150963528,8.72816150963528
0.01,5.39332269603933,7.8257578649147,7.8257578649147,10.5887352380939,7.8257578649147,7.8257578649147,6.0644170186153,7.43474225080224,8.22940163143216,11.8072719372172,8.6185212346713,8.6185212346713
0.02,5.3447168791644,7.73783304326145,7.73783304326145,10.431806513087,7.73783304326145,7.73783304326145,6.00501530207776,7.35779294413736,8.12949545107753,11.628133291085,8.51142212409187,8.51142212409187
0.03,5.29729519194473,7.65182125439558,7.65182125439558,10.2784441031267,7.65182125439558,7.65182125439558,5.94715181063616,7.28244973702428,8.03193741748957,11.4531660671204,8.40681446792603,8.40681446792603
0.04,5.25104538134945,7.5676964468779,7.5676964468779,10.1285813150132,7.5676964468779,7.5676964468779,5.89080215243371,7.20869521170667,7.93668282602999,11.2822856969187,8.30465052786083,8.30465052786083
0.05,5.20595584931812,7.4854335313969,7.4854335313969,9.98215338976201,7.4854335313969,7.4854335313969,5.83594318212904,7.13651266660471,7.8436888239418,11.1154102726299,8.20488448621934,8.20488448621934
0.06,5.16201565833605,7.40500838030216,7.40500838030216,9.83909747749349,7.40500838030216,7.40500838030216,5.78255297972248,7.06588612297522,7.75291436482742,10.9524604918658,8.10747239874713,8.10747239874713
0.07,5.11921453813866,7.32639782846696,7.32639782846696,9.69935261419953,7.32639782846696,7.32639782846696,5.73061083203613,6.99680033269031,7.66432016681226,10.7933596060883,8.01237215113052,8.01237215113052
0.08,5.07754289360946,7.24957967554389,7.24957967554389,9.56285970043281,7.24957967554389,7.24957967554389,5.68009721684198,6.92924078720448,7.5778686743319,10.6380333724503,7.91954341918309,7.91954341918309
0.09,5.03699181394255,7.17453268968338,7.17453268968338,9.42956148197195,7.17453268968338,7.17453268968338,5.63099378964296,6.86319372778663,7.49352402349429,10.4864100090772,7.8289476326507,7.8289476326507
0.1,4.99755308314744,7.10123661279279,7.10123661279279,9.29940253252272,7.10123661279279,7.10123661279279,5.58328337312345,6.79864615710021,7.41125201098211,10.3384201537841,7.74054794259862,7.74054794259862
0.11,4.95921919198167,7.02967216742143,7.02967216742143,9.17232923852355,7.02967216742143,7.02967216742143,5.53694994929757,6.73558585222302,7.33102006647457,10.1939968262383,7.65430919235891,7.65430919235891
0.12,4.92198335140485,6.959821065366,6.959821065366,9.04828978613259,6.959821065366,6.959821065366,5.4919786543962,6.67400137920654,7.25279722858228,10.0530753935906,7.57019789203043,7.57019789203043
0.13,4.88583950765718,6.89166601810024,6.89166601810024,8.92723415048281,6.89166601810024,6.89166601810024,5.44835577654671,6.61388210928417,7.17655412430422,9.91559353961069,7.48818219653914,7.48818219653914
0.14,4.85078235907556,6.82519074914363,6.82519074914363,8.80911408730256,6.82519074914363,6.82519074914363,5.40606875631395,6.55521823684842,7.10226295203121,9.78149123737773,7.4082318872822,7.4082318872822
0.15,4.81680737477147,6.76038000849549,6.76038000849549,8.69388312701035,6.76038000849549,6.76038000849549,5.36510619018556,6.49800079932859,7.0298974681373,9.6507107255921,7.330318357396,7.330318357396
